ticker,classification,timestamp
A,Long,2025-11-21 12:51:43.525621
AA,Short,2025-11-21 12:51:43.530619
AAM,Long,2025-11-21 12:51:43.537943
AAM.U,Neutral,2025-11-21 12:51:43.543933
AAM.W,Neutral,2025-11-21 12:51:43.551715
AAMI,Short,2025-11-21 12:51:43.556716
AAP,Long,2025-11-21 12:51:43.563306
AAPL,Long,2025-11-21 12:51:43.569327
AAT,Short,2025-11-21 12:51:43.576331
AAUC,Short,2025-11-21 12:51:43.581602
AB,Long,2025-11-21 12:51:43.587602
ABBV,Long,2025-11-21 12:51:43.593602
ABCB,Long,2025-11-21 12:51:43.596635
ABEV,Long,2025-11-21 12:51:43.601634
ABG,Short,2025-11-21 12:51:43.608529
ABM,Long,2025-11-21 12:51:43.614531
ABNB,Short,2025-11-21 12:51:43.619529
ABR,Short,2025-11-21 12:51:43.624399
ABR$D,Neutral,2025-11-21 12:51:43.630398
ABR$E,Neutral,2025-11-21 12:51:43.636575
ABR$F,Neutral,2025-11-21 12:51:43.644047
ABT,Long,2025-11-21 12:51:43.645882
ACA,Long,2025-11-21 12:51:43.656020
ACCO,Short,2025-11-21 12:51:43.661086
ACEL,Short,2025-11-21 12:51:43.666083
ACGL,Long,2025-11-21 12:51:43.671460
ACHR,Short,2025-11-21 12:51:43.677461
ACHR.W,Neutral,2025-11-21 12:51:43.682886
ACI,Short,2025-11-21 12:51:43.687833
ACLO,Long,2025-11-21 12:51:43.693685
ACM,Short,2025-11-21 12:51:43.698688
ACN,Long,2025-11-21 12:51:43.703685
ACP,Short,2025-11-21 12:51:43.708687
ACP$A,Neutral,2025-11-21 12:51:43.711601
ACR,Short,2025-11-21 12:51:43.716597
ACR$C,Neutral,2025-11-21 12:51:43.726331
ACR$D,Neutral,2025-11-21 12:51:43.733492
ACRE,Long,2025-11-21 12:51:43.740767
ACV,Short,2025-11-21 12:51:43.746488
ACVA,Short,2025-11-21 12:51:43.746488
AD,Short,2025-11-21 12:51:43.757673
ADBE,Short,2025-11-21 12:51:43.761027
ADC,Long,2025-11-21 12:51:43.766024
ADC$A,Neutral,2025-11-21 12:51:43.772292
ADCT,Short,2025-11-21 12:51:43.780480
ADI,Short,2025-11-21 12:51:43.784477
ADM,Long,2025-11-21 12:51:43.790325
ADNT,Short,2025-11-21 12:51:43.796325
ADP,Short,2025-11-21 12:51:43.800399
ADSK,Short,2025-11-21 12:51:43.805403
ADT,Short,2025-11-21 12:51:43.810402
ADX,Short,2025-11-21 12:51:43.815440
AEE,Long,2025-11-21 12:51:43.815440
AEFC,Short,2025-11-21 12:51:43.824988
AEG,Short,2025-11-21 12:51:43.829990
AEM,Short,2025-11-21 12:51:43.833989
AEO,Long,2025-11-21 12:51:43.840004
AEP,Long,2025-11-21 12:51:43.845006
AER,Long,2025-11-21 12:51:43.849002
AERO,Neutral,2025-11-21 12:51:43.856044
AES,Short,2025-11-21 12:51:43.861041
AESI,Short,2025-11-21 12:51:43.866044
AEXA,Short,2025-11-21 12:51:43.871043
AFB,Short,2025-11-21 12:51:43.876046
AFG,Long,2025-11-21 12:51:43.881049
AFGB,Short,2025-11-21 12:51:43.886050
AFGC,Short,2025-11-21 12:51:43.891050
AFGD,Short,2025-11-21 12:51:43.898477
AFGE,Short,2025-11-21 12:51:43.904329
AFL,Long,2025-11-21 12:51:43.909189
AG,Short,2025-11-21 12:51:43.915191
AGCO,Long,2025-11-21 12:51:43.920192
AGD,Short,2025-11-21 12:51:43.925191
AGI,Long,2025-11-21 12:51:43.930192
AGL,Short,2025-11-21 12:51:43.934191
AGM,Long,2025-11-21 12:51:43.939225
AGM$D,Neutral,2025-11-21 12:51:43.944223
AGM$E,Neutral,2025-11-21 12:51:43.952949
AGM$F,Neutral,2025-11-21 12:51:43.960777
AGM$G,Neutral,2025-11-21 12:51:43.967385
AGM$H,Neutral,2025-11-21 12:51:43.975382
AGM.A,Neutral,2025-11-21 12:51:43.982384
AGO,Long,2025-11-21 12:51:43.989523
AGRO,Short,2025-11-21 12:51:43.995524
AGX,Long,2025-11-21 12:51:44.000524
AHH,Short,2025-11-21 12:51:44.006619
AHH$A,Neutral,2025-11-21 12:51:44.012614
AHL,Long,2025-11-21 12:51:44.018738
AHL$D,Neutral,2025-11-21 12:51:44.026734
AHL$E,Neutral,2025-11-21 12:51:44.032734
AHL$F,Neutral,2025-11-21 12:51:44.037937
AHR,Long,2025-11-21 12:51:44.042936
AHT,Short,2025-11-21 12:51:44.051265
AHT$D,Neutral,2025-11-21 12:51:44.054902
AHT$F,Neutral,2025-11-21 12:51:44.065576
AHT$G,Neutral,2025-11-21 12:51:44.072094
AHT$H,Neutral,2025-11-21 12:51:44.077092
AHT$I,Neutral,2025-11-21 12:51:44.084775
AI,Short,2025-11-21 12:51:44.104783
AIG,Short,2025-11-21 12:51:44.128234
AII,Short,2025-11-21 12:51:51.436125
AIIA.U,Neutral,2025-11-21 12:51:51.446126
AIN,Short,2025-11-21 12:51:51.463700
AIO,Short,2025-11-21 12:51:51.470238
AIR,Short,2025-11-21 12:51:51.475234
AIT,Short,2025-11-21 12:51:51.480234
AIV,Long,2025-11-21 12:51:51.485580
AIZ,Long,2025-11-21 12:51:51.490638
AIZN,Short,2025-11-21 12:51:51.494639
AJG,Short,2025-11-21 12:51:51.499638
AKA,Long,2025-11-21 12:51:51.502674
AKAF,Short,2025-11-21 12:51:51.507673
AKAM,Long,2025-11-21 12:51:51.514682
AKO.A,Neutral,2025-11-21 12:51:51.519681
AKO.B,Neutral,2025-11-21 12:51:51.526679
AKR,Long,2025-11-21 12:51:51.532682
AL,Long,2025-11-21 12:51:51.535918
ALB,Long,2025-11-21 12:51:51.543781
ALB$A,Neutral,2025-11-21 12:51:51.550782
